,Unnamed: 0,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,spreadtotal,decimalodds,americanodds,participantscore,underdogscore,dateForJoin,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,over_under_total
Unnamed: 0,1.0,1.0,0.999996168981921,0.9702481641307448,0.028701287245495095,-0.07041472822051983,-0.04929400063236526,-0.043814641410612705,-0.05467358970895674,0.9188212736863943,0.04641395019266883,0.03493315183522815,0.004289819599380249,-0.027233087559391224,0.038467927335418296,-0.03480373957877284,-0.025804653745248797,0.02383778318534476,-0.04837602858121863,0.02146436368696551,-0.00944889860996387,-0.05692646893830318,-0.07151522537910734,0.010861457392584185,-0.06870317749793961,0.19085235383049734,-0.012801033122477793,0.05991380605212305,0.05788747637822055,0.035434405111977554,-0.12604988752898783,-0.03793684529625644,-0.010886625988929373,-0.03789891265752649,0.03801336642581631,0.014142295360013567,-0.008597685821143475,0.004085768510757028,0.028876709488184337,-0.0019721227366773517,0.011804278070212832,-0.06504107558890346,-0.0939810613850465,-0.05139483661505345,0.04327126656269348,-0.012171592850878054,0.1627588985343334,0.0108235679558875,0.0033749652686726694,-0.031861476597317986,-0.029699694136518583,0.05991380605212305,-0.05787657979868649,-0.023966125418310776,-0.010492735410174191,0.009869804876921344,-0.022976270810751678,-0.0031134283144251644,-0.05932230434396669,-0.045441967179856046,0.016692152490418694,-0.04053468513212846,0.0394252635205436,0.02455538982840339,0.038467927335418296,0.03483941495417603,0.030730149804115325,-0.06373219964499854,-0.06161088615449213,0.02613943410953614,0.00538031047900068,0.11277977547175637,0.08279863283030922,-0.0411786009630856,0.03158282093700201,-0.028901608450856143,-0.007613634171494024,-0.01873511177551475,-0.10204112458953317,-0.09960665078070426,-0.046158224723560674,0.02826265386464332,-0.0225202081601157,0.0002887185804111765,-0.21274673925196758,-0.09222680222068128
Unnamed: 0.2,1.0,1.0,0.999996168981921,0.9702481641307448,0.028701287245495095,-0.07041472822051983,-0.04929400063236526,-0.043814641410612705,-0.05467358970895674,0.9188212736863943,0.04641395019266883,0.03493315183522815,0.004289819599380249,-0.027233087559391224,0.038467927335418296,-0.03480373957877284,-0.025804653745248797,0.02383778318534476,-0.04837602858121863,0.02146436368696551,-0.00944889860996387,-0.05692646893830318,-0.07151522537910734,0.010861457392584185,-0.06870317749793961,0.19085235383049734,-0.012801033122477793,0.05991380605212305,0.05788747637822055,0.035434405111977554,-0.12604988752898783,-0.03793684529625644,-0.010886625988929373,-0.03789891265752649,0.03801336642581631,0.014142295360013567,-0.008597685821143475,0.004085768510757028,0.028876709488184337,-0.0019721227366773517,0.011804278070212832,-0.06504107558890346,-0.0939810613850465,-0.05139483661505345,0.04327126656269348,-0.012171592850878054,0.1627588985343334,0.0108235679558875,0.0033749652686726694,-0.031861476597317986,-0.029699694136518583,0.05991380605212305,-0.05787657979868649,-0.023966125418310776,-0.010492735410174191,0.009869804876921344,-0.022976270810751678,-0.0031134283144251644,-0.05932230434396669,-0.045441967179856046,0.016692152490418694,-0.04053468513212846,0.0394252635205436,0.02455538982840339,0.038467927335418296,0.03483941495417603,0.030730149804115325,-0.06373219964499854,-0.06161088615449213,0.02613943410953614,0.00538031047900068,0.11277977547175637,0.08279863283030922,-0.0411786009630856,0.03158282093700201,-0.028901608450856143,-0.007613634171494024,-0.01873511177551475,-0.10204112458953317,-0.09960665078070426,-0.046158224723560674,0.02826265386464332,-0.0225202081601157,0.0002887185804111765,-0.21274673925196758,-0.09222680222068128
Unnamed: 0.1,0.999996168981921,0.999996168981921,1.0,0.9702042723018047,0.028855225090686703,-0.07039180174208168,-0.0492219593232119,-0.04369264539426495,-0.054453346266096214,0.9196257599564671,0.046476879249542594,0.03510294961758137,0.004347881143110599,-0.027212859436005377,0.038600626439539897,-0.034688941641634115,-0.025843729658990382,0.024049085961016174,-0.04835035416915742,0.02165765149184904,-0.009252077389786725,-0.05690826415253696,-0.07148628563571223,0.01087101697529405,-0.06866694923035209,0.19098251569716007,-0.012781958296487195,0.0601628082903647,0.05794050026497341,0.035429443947528776,-0.12604270501115702,-0.03771116398368148,-0.010880086427107642,-0.03789047330568213,0.03809042026377234,0.014222685932211952,-0.008463802065374282,0.00424242423225713,0.028985159515607907,-0.0020077202362208746,0.012015722571653231,-0.06513022297387934,-0.09407126412870637,-0.05144012254843063,0.043419962931076014,-0.012094506342531279,0.16289734719885768,0.010945770365300143,0.0034216058045726254,-0.031929232446942554,-0.02979174393545293,0.0601628082903647,-0.05792952651398667,-0.02405581169712178,-0.010339318332355643,0.009793793807830527,-0.022858156503871817,-0.003123914371319291,-0.05920943017368188,-0.04536427483643414,0.01678363964727819,-0.04043416181059413,0.03921545973285015,0.024530117919603977,0.038600626439539897,0.034724548874920984,0.030595726755770145,-0.06377555257186973,-0.0614901165752529,0.026075283986953652,0.005301338570101599,0.1128479545614231,0.08277221378163492,-0.041086953181206406,0.03164590609130808,-0.02901004802332906,-0.007734762852777275,-0.01855388718642387,-0.10204728618224221,-0.0996356495135069,-0.04624448244392397,0.028327518792439985,-0.022570486760502318,0.00031446456948886083,-0.21276470654895713,-0.09199260202334925
Unnamed: 0.1.1,0.9702481641307448,0.9702481641307448,0.9702042723018047,1.0,0.028689541553695262,-0.07344582130159603,-0.05079937648039966,-0.04906967389753945,-0.0561149128609212,0.8919635549622662,0.04418933379273608,0.03167290771205903,-0.003235593299610132,-0.03331966592454131,0.03970109710058089,-0.032956917996294334,-0.02730932756340809,0.018048942862048476,-0.0428345540196615,0.015254919597513149,-0.01151782798908176,-0.06550199327699281,-0.07890350294982036,0.016616527335403346,-0.07357675597504636,0.17378711362520852,-0.009277804617009895,0.056276937162016226,0.05998367917290238,0.03968742521456464,-0.13088781473776312,-0.04199375568280086,-0.01681901078008861,-0.04411038799798934,0.032999538316219094,0.011899861069708431,-0.007085457713381906,0.0036534991572799843,0.026906619866946577,-0.0008705387467539617,0.005927762064453533,-0.06639107050658935,-0.09432821618282586,-0.04499370875408788,0.032716860629021585,-0.013868263096115123,0.14600356214960597,0.007951648350103837,0.0002350534934715172,-0.02489483036076519,-0.024551731815935215,0.056276937162016226,-0.05997117700392045,-0.023876887092614263,-0.009677338351828312,0.006767680496732511,-0.02251755511893919,-0.005308712392384932,-0.06436536108565206,-0.05214883588486872,0.0219806571456875,-0.045094201875097766,0.04352299352152705,0.02084318268632788,0.03970109710058089,0.03299512736583784,0.027860997773888854,-0.07171551897802261,-0.0608322527103898,0.02239554635606452,6.254698736853607e-05,0.11084671346706332,0.07921311610812351,-0.040993488251987675,0.02984822796803864,-0.02692583367912733,-0.008608408563485003,-0.01787141180919891,-0.10498003447708104,-0.10498795719933289,-0.04786652027331176,0.028167927032805858,-0.024219939989227078,0.003396799722947241,-0.2161737964935478,-0.10130694359778232
spreadtotal,0.028701287245495095,0.028701287245495095,0.028855225090686703,0.028689541553695262,1.0,0.021754305809580272,0.011558892012604533,-0.18130302332167825,0.09780467308095189,0.036174209092613034,-0.016589543111825093,0.005536097218228719,0.081592739496019,0.08466299403779624,-0.0949300105940158,0.02605537073977931,0.057457238803412,0.07920718258299603,-0.08863338358356976,0.089190381274298,0.03102344912227219,0.052390930568131745,0.035366343816745825,0.08772331631391637,0.06516833168205766,-0.18803868567875134,0.03340015657991672,0.11050989364536361,0.038466739412420944,-0.01792259700722176,0.01331142328877181,0.053303398063491304,-0.01937941380374261,-0.033888059309138865,-0.04095686546415593,-0.0764220408066754,0.05327275626370676,-0.0062474594274143725,0.11416857367039986,0.038313587026800315,0.10162864968323183,-0.016193114633749815,-0.03570840133711468,-0.009683477133052846,0.0484709109381868,0.03473184107275705,0.03498139681740301,-0.0298166733567775,-0.10536150185556777,-0.04322189604142361,-0.05834760242578369,0.11050989364536361,-0.03844270102200872,-0.12483286627744968,-0.12748874291411133,-0.050267347929066244,-0.11792581074030041,-0.10839718688155384,-0.00429685865287042,-0.028833895026045237,0.026661477229236147,-0.017326741774601574,-0.002349553918338667,-0.0347200223641984,-0.0949300105940158,-0.026051736142933532,-0.023573799062846578,-0.01479886886109348,-0.13844029868038854,-0.03980390107779295,-0.06126733654957027,-0.0295286501627117,-0.0600182914170329,-0.06976398396088872,-0.09449726589370071,-0.1142267487926739,-0.1078618691962319,-0.11844834442894833,-0.041658177115499614,-0.06313139623896796,-0.0262954124413103,-0.10713123446109228,-0.07870166710038862,-0.06797007540980202,-0.13004384746508138,0.05657526615543845
decimalodds,-0.07041472822051983,-0.07041472822051983,-0.07039180174208168,-0.07344582130159603,0.021754305809580272,1.0,0.6325731453243709,-0.0030179431876099947,-0.004481956420562089,-0.06870074331313242,0.000527878982892187,-0.015209860491499375,0.00280791296589025,-0.003986935477395244,0.014705462704310474,-0.011077073039465223,-0.018734015502808926,-0.03224101720332315,-0.004973849825184053,-0.025570233392676413,-0.025965828676386023,0.012462373054307084,0.011711546174375507,0.012942969762384267,0.016647890233902785,-0.017710874843221616,-0.0032677719473231267,-0.027211426437568673,-0.013476908387656755,-0.0034666030651372636,0.008998435870120561,-0.024151232536331252,0.0029937956829587335,0.003657798729251155,0.01185058694612739,0.009368567946800136,-0.05813969047333727,-0.03431865634503318,-0.03040123117355048,-0.017671699224333343,-0.02655847565518443,0.00891103594886651,0.010296320258315084,-0.011818032451873198,0.012921267150775307,-0.00020611949350820446,0.018879077267643506,0.02110572265101295,0.008289097436961112,-0.016206188564584792,-0.015149185077973406,-0.027211426437568673,0.01345203486028353,0.012141643540807857,0.022004260344366307,-0.010725622451735854,-0.006869162841112952,-0.0037812662187480524,0.02735019650997306,0.012696717667577526,0.012134566860770166,0.013287868739700913,-0.023213575141727328,-0.001719215080285117,0.014705462704310474,0.011052532077883443,0.0018541368271071128,0.03255814440529912,0.012864363794493315,-0.004888883983502045,-0.00606442244747949,-0.0012079558454563284,-0.009157984549805728,0.012058651977677295,0.014575512273397664,0.030389115389898726,0.010328044339488855,0.02450560431931373,0.018448356768450695,0.015178591569646882,-0.008247215840089759,-0.015088226311978689,-0.013302557903545403,-0.012058084536778459,0.0011849214305255052,0.20655900055539872
americanodds,-0.04929400063236526,-0.04929400063236526,-0.0492219593232119,-0.05079937648039966,0.011558892012604533,0.6325731453243709,1.0,0.004133595503465712,0.0037787955694462074,-0.03137126460657785,-0.010479832109055126,-0.020740597893605977,0.04052396359620535,0.027553981268613678,0.001944226355346388,-0.014133140028148304,-0.010809823038579545,-0.03281901739056518,0.01201090703254357,-0.030423055543408174,-0.021107690644254395,0.004437952230302193,0.007616258562746013,-0.010096762384296812,0.0035482226788161025,-0.021899921184667916,-0.004959526317229659,-0.02579271822704135,-0.003195661858522441,0.009258363451506128,0.01251570277430394,-0.021820391960175586,0.00330516592815204,0.004013502974193026,0.009251427264936768,0.013722611318762505,-0.04088870241846354,-0.02012878649949749,-0.023857147680980486,-0.00393344158242065,-0.03248728266595066,-0.007399322776363387,-0.004543310944105665,-0.0014669672113441661,-0.005750647621959555,-0.005837658428534504,-0.003667571762253067,0.040945976086259564,0.018418806572075765,0.013505074248027795,0.018183990362794004,-0.02579271822704135,0.00317740234296074,0.01750463368330882,0.0023892346959343788,-0.00042970374476349645,-0.015970321896800636,-0.004076753980460941,0.011151725352600802,0.005421904547388958,0.023092877534231802,0.010657458481901015,-0.01903162206345119,0.0017782671619632612,0.001944226355346388,0.014113377070944799,0.010229935324360142,0.019889895721973944,0.0027584661352153417,-0.02913169278378327,-0.025274254667402168,0.01718647509092156,0.012525151816363695,-0.0014108801445731527,0.013082566018886174,0.023842693852447545,0.017696617037310455,0.005673741685929832,0.01569249340320259,0.016710345976091497,-0.00964735405567147,-0.010486534142289665,-0.012787358990040179,-0.010379220431142942,0.005386155214171075,0.1636303100202106
participantscore,-0.043814641410612705,-0.043814641410612705,-0.04369264539426495,-0.04906967389753945,-0.18130302332167825,-0.0030179431876099947,0.004133595503465712,1.0,0.37484185872719356,-0.020044591446397766,0.018397829242392045,0.326080675959125,-0.130570409609626,-0.07723705933445787,0.5704836248933213,-0.09918864062405047,-0.22187001956834157,0.3600454724549054,0.2895476491134479,0.3469915308449685,0.4966153271131865,0.12391799109588915,0.20989375828241255,0.08843621429717918,0.2283068395255058,0.13446703908233695,0.15959375838088513,0.4217406283314646,0.023431730249671576,-0.001251390998851741,0.13926652086456037,0.6000275174820645,-0.07335173382212033,-0.005630087078630368,0.029887964273742112,0.1403926067246246,0.26789660769088064,0.29070255144197743,-0.09969348303596838,-0.18714499504122623,0.3832638164062132,-0.1373776110384352,-0.05711783111760987,0.12183576679522903,0.23604134209137212,0.27082130402124416,0.07852721077844063,-0.009683860751581024,0.14756423036787666,-0.06500528031181435,-0.09400297782781385,0.4217406283314646,-0.0234553928701596,-0.16807114373705245,0.4995981522185248,-0.060698241980829584,0.3876237900046111,0.18411109183805854,0.12503847870675894,0.08234940220209389,0.10205455695699168,0.11323229128408098,-0.010803490337517402,-0.15294228194121678,0.5704836248933213,0.0992250537095629,-0.07534566263384222,-0.01924272084217079,0.7400150836287085,-0.07020041315484196,-0.08010023612368192,-0.004565398864335021,-0.044553983279517165,0.2575124494737108,0.1817115777300088,0.09974494462296948,-0.1614176984794712,0.5235928114450051,-0.10685101386469124,-0.11690471185418605,-0.051928398382102385,0.28938707809088837,0.12114504766436521,0.006994581557058706,0.4081829818837202,0.2074981824432324
underdogscore,-0.05467358970895674,-0.05467358970895674,-0.054453346266096214,-0.0561149128609212,0.09780467308095189,-0.004481956420562089,0.0037787955694462074,0.37484185872719356,1.0,-0.015519099636910175,-0.019830712437239478,0.36261629338030066,-0.06133829064160495,-0.022643363958258368,0.42848823697967187,-0.0339294184444981,-0.134983148722528,0.48465623851611084,0.27536554447270595,0.47116895489669974,0.6027315014802926,0.15805681310405484,0.24398055591333984,0.17121567988476952,0.29336953727552645,0.07358077809783815,0.25747660682976764,0.5960768184120987,0.08430176155887348,0.008844688373703813,0.23768405779867957,0.7363225385838217,-0.04832297003835828,0.010160065867209283,0.03154170515561208,0.13614764890653716,0.36555485492613415,0.35486378818055725,0.04838131198419649,-0.10851282764356589,0.5251554938567297,-0.1971224250393419,-0.12397227334633497,0.1136957966966642,0.32054391277599636,0.3271980910182335,0.11323134559619918,-0.028987758701462137,-0.027993314362743965,-0.11237624244855611,-0.18945218140294615,0.5960768184120987,-0.08428451140359576,-0.3458710856040189,0.35652660531640873,-0.1981461923716976,0.2734316424617192,-0.009262144392860385,0.21081466451502814,0.08622703019040585,0.10608217235651739,0.11431502065483173,-0.03343217853116829,-0.2548334617172605,0.42848823697967187,0.03392072641304644,-0.15248556038989855,-0.07875160210267158,0.5860457064571384,-0.14999953135078647,-0.21186256527836186,-0.020279239491544185,-0.16010272294479672,0.1791282380092943,0.03165624331039939,-0.04831047020394913,-0.33122560464268275,0.39759705489353486,-0.08677464214478466,-0.17744242209223166,-0.15892388877241048,0.1962962067358573,-0.0301942253709843,-0.033755211318016315,0.3006408609116472,0.19128905044886482
dateForJoin,0.9188212736863943,0.9188212736863943,0.9196257599564671,0.8919635549622662,0.036174209092613034,-0.06870074331313242,-0.03137126460657785,-0.020044591446397766,-0.015519099636910175,1.0,0.047320589648741834,0.06015222293373756,0.010416622467843013,-0.01981642247460902,0.0567864870583418,-0.017164026204610848,-0.028362085533717576,0.05349993912475802,-0.02974667692124746,0.05120646696948567,0.030295979726420556,-0.0627758630581843,-0.07273656417133047,0.011735557609871909,-0.06858098780184324,0.22145588971227093,-0.010452242291891905,0.09244884203281205,0.05650610711477812,0.03105058112649524,-0.12319753030094707,0.0008330986161809697,-0.014236863574684209,-0.03850701014713163,0.032958884911159864,0.016441531046303057,0.014170739657224735,0.02428896594786901,0.03472087721491613,-0.006560072373192748,0.03998672888655285,-0.08284061662261871,-0.10871875049523971,-0.03799711687408967,0.05968078204334201,0.011737548531625185,0.18853785055092817,0.022187573376082948,0.010242580015614377,-0.04282376810707207,-0.037876936812418535,0.09244884203281205,-0.05648526673990494,-0.02846142446994737,0.011859568265616858,0.001909029264186312,-0.0033021823402551043,-0.0008934221478150494,-0.04067289381191019,-0.029563780089993323,0.03068004215904473,-0.02195194979196495,0.015597241129927638,0.01996585621307534,0.0567864870583418,0.017199678843038208,0.011313096027083646,-0.07355001642935201,-0.03547884911613881,0.01262081068234138,-0.0066509431265441106,0.10704649458387934,0.07181808778834353,-0.020376090189959263,0.0382400253892237,-0.03473851501208718,-0.01839413029413215,0.008417657364609102,-0.0999945707259523,-0.09999227102339998,-0.049256249882479765,0.034113533648138974,-0.023697648900304326,0.003229553783530907,-0.1940690550754357,-0.056870070472465006
