,Tweets
0,Arizona Cardinals defensive end J.J. Watt has graciously offered to help out a fan who said she was selling her sho… https://t.co/Vl1nfQBpGZ
1,@brent_youtube @MySportsUpdate You're trippin the next team to win the Superbowl is the Arizona Cardinals
2,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
3,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
4,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
5,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
6,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
7,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
8,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
9,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
10,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
11,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
12,Former NFL Top Rookie Decides To Stick With Arizona Cardinals Until 2028 https://t.co/iqTV4YUSC5
13,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
14,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
15,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
16,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
17,[Venerable] The 2018 Arizona Cardinals were dead last (32nd) in the NFL in points per game with 14.1. They were one… https://t.co/X8F8JmiiJR
18,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
19,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
20,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
21,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
22,@chrismedina @NickAdamBurner @statmuse CJ Beathard beat the Cardinals with the playoffs on the line for Arizona. Mu… https://t.co/vLzGPzIDit
23,"WATCH: 12Sports' Cam and Lina talk about Kyler Murray's extension with the Arizona Cardinals.
 https://t.co/npILgkWhi1"
24,Kyler Murray Agrees to $250.5 Million Deal with the Arizona Cardinals
25,RT @ClancysCorner: Please do NOT compare Kyler Murray to any other QB. Not only because he's got a different skillset than all other QBs in…
26,RT @SportsDayDFW: Arizona Cardinals QB Kyler Murray agrees to massive extension https://t.co/IBMbKG0RQQ
27,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
28,RT @ClancysCorner: I'm pretty happy the Arizona Cardinals didn't draft Nick Bosa at #1 overall instead of Kyler Murray.
29,RT @JohnnyVenerable: The 2018 Arizona Cardinals were dead last (32nd) in the NFL in points per game with 14.1. They were one of the worst o…
30,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
31,"RT @JohnnyVenerable: From the day he entered the organization, Kyler Murray has made the Arizona Cardinals better.

He’s improved every sea…"
32,"RT @JohnnyVenerable: The only way to sustain success in today's NFL is to have THE GUY under center.

Locking up Kyler Murray puts the Ariz…"
33,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
34,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
35,Why the Cardinals had to give Kyler Murray whatever he wanted #Arizona #Cardinals #NFL https://t.co/ZuBH6i0s7o
36,"RT @BoBrack: According to Spotrac, the Arizona Cardinals dropped Kyler Murray's 2022 cap hit from over $11M to under $7M. K1's extension fr…"
37,Kyler Murray has agreed to a contract extension that will reportedly keep him in Arizona until 2028. https://t.co/77vS1p8XT8
38,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
39,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
40,"RT @TMSMpodcast: Jimmy Garoppolo has permission to seek a trade. 

Where does he go? Is Trey Lance ready to start? 

Check out our analysis…"
41,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
42,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
43,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
44,"What is the oldest team in the NFL?

Answer: Arizona Cardinals"
45,"TEMPE, Ariz. — The drama is over: Kyler Murray and the Arizona Cardinals have made a long-term commitment to each o… https://t.co/yyDj5UT3X3"
