,IndexRow,Season,Home Total,Away Total,Total Points,Home _diff,Coin Toss Winner,Indoor/Outdoor,Temperature,Humidity,Wind,Spread Amount,Total Line,Home First Downs,Home Rush Attempts,Home Rush Yards,Home Rush Yards Per Attempt,Home Rush TD,Home Completions,Home Attempts,Home Pass Yards,Home Pass Yards Per Attempt,Home Pass Touchdowns,Home Interceptions,Home Sacked,Home Sacked Yards,Home Net Pass Yards,Home Total Yards,Home Fumbles,Home Fumbles Lost,Home Turnovers,Home Penalties,Home Penalty Yards,Home Third Downs Converted,Home Third Downs Attempted,Home Third Down Percentage,Home Fourth Downs Converted,Home Fourth Downs Attempted,Home Fourth Downs Percentage,Home Time Of Possesion,Away First Downs,Away Rush Attempts,Away Rush Yards,Away Rush Yards Per Attempt,Away Rush TD,Away Completions,Away Attempts,Away Pass Yards,Away Pass Yards Per Attempt,Away Pass Touchdowns,Away Interceptions,Away Sacked,Away Sacked Yards,Away Net Pass Yards,Away Total Yards,Away Fumbles,Away Fumbles Lost,Away Turnovers,Away Penalties,Away Penalty Yards,Away Third Downs Converted,Away Third Downs Attempted,Away Third Down Percentage,Away Fourth Downs Converted,Away Fourth Downs Attempted,Away Fourth Down Percentage,Away Time Of Possesion,Home QB 1d Perc,Home QB CAY_PA,Home QB Blitzed,Home QB Hurried,Home QB Hit,Home QB Yds Per Scram,Away QB 1d Perc,Away QB CAY_PA,Away QB Blitzed,Away QB Hurried,Away QB Hit,Away QB Yds Per Scram
IndexRow,1.0,0.9681338119584495,0.01247799375313254,0.002175712755865003,0.005991938711037013,0.007200813971457549,-0.042716666836641146,0.0756023625809552,-0.11777286732283582,0.15235051491458576,-0.0011763064781313034,0.06363129091438985,0.0371101776170729,-0.008927661147358028,0.035453949198514224,0.030247056088771967,0.019383116020089103,0.04076333768991754,-0.023268686856053798,-0.023197716502008525,-0.08519055859206931,-0.08858741308265194,-0.018759281662013714,-0.013832805510393259,-0.048722646273251555,-0.01476407014439826,-0.0788329254433405,-0.0548686626853077,-0.04979970812478244,-0.025686750196049483,-0.02568998041924721,-0.17789473473958012,-0.15474497604314363,0.0448866204183354,0.014439706106428416,0.04219169126137241,0.1139213008052624,0.12901293299420563,0.11460664940721019,-0.019682754081558437,0.015550782427949664,0.0476264684513742,0.016778451292238487,-0.02361231718046492,0.03074005750833544,0.005910288379565554,0.001889139047903626,-0.036887428447464926,-0.04570509171040867,-0.020034714251612372,0.001993973066359671,-0.047798197642121155,-0.03634146318729643,-0.029636181047078138,-0.017419227843099183,-0.01262946035361916,-0.052374628927330046,-0.030805072812022608,-0.19332294136110537,-0.15197845641237925,0.06592685837312943,0.05303650309858601,0.053888958573813796,0.09159072625419738,0.13412338106884628,0.025302773482227203,0.021400739744305192,-0.035173582202045854,-0.04880051885118102,-0.03339301517937445,-0.13157352497524183,0.08860546657537968,0.00931794478142572,-0.019654221484775247,-0.05929911058191167,0.019259990961140006,-0.1469550252344648,0.07842246367302706,0.04029658736655444
Season,0.9681338119584495,1.0,0.01019063382515361,0.01659424051139704,0.01521223763514384,-0.004315394022397734,-0.04336988218337853,0.07675635654173214,-0.05259922846648136,0.15465027709967633,-0.0013838252009698683,0.03739920417141736,0.0570305620899898,0.0081626424849076,0.02491906746445124,0.00954634106112914,-0.0002050407311067488,0.024146951206393184,0.005856056454333065,-0.002665994965233231,-0.05588648258081739,-0.07168843484653327,-0.004265477853311263,-0.008655904630779174,-0.04631190360442965,-0.012500278110932668,-0.05067030708004168,-0.041402977819882045,-0.04034136255637746,-0.01007026176655741,-0.012591823304612032,-0.14417520087285884,-0.11792507730193982,0.04817500154037359,0.011671804007628888,0.047502870074854917,0.09562466480819361,0.11861757473377998,0.10096536099274588,-0.017522854650492206,0.03041990817718467,0.04661342343905404,0.015741402878641283,-0.02475012104696362,0.04083480930793271,0.021631524938676892,0.0045085286553743125,-0.013801160158883283,-0.017517576795288065,-0.011330951664945334,0.003430548357785817,-0.05021556135220253,-0.03938187541724666,-0.006812273379619039,0.0028636915560201503,-0.014969827709657971,-0.05427587608515872,-0.030856424817198698,-0.15812813490883978,-0.1194559375076058,0.060068763681471585,0.034873078007809706,0.0556908592036747,0.08054222932274403,0.11609460415060942,0.02060226237985164,0.022295678782118935,-0.01961124727870998,-0.026040255729660438,-0.02562861356421454,-0.11611205732528142,0.10807919946379177,0.002977821311196746,-0.0019618752695471113,-0.04528470286184554,0.023520519469610927,-0.1288131127209352,0.08849742857676027,0.03025911576936037
Home Total,0.01247799375313254,0.01019063382515361,1.0,-0.04230192158239068,0.6966094749155026,0.7261745812861056,-0.029443352697310268,0.07462879571327455,0.002778685957239693,-0.09283675091781651,-0.10676279183963913,0.08316477337297164,0.21882127019275494,0.5785859776275277,0.39521494362272314,0.38307044721271394,0.19242000978141968,0.5017616523982117,0.12130389762195676,-0.08706544240576997,0.3786135235906161,0.5602699260287031,0.6740691350330069,-0.2839261006377711,-0.33468738999336567,-0.3086410250497356,0.42411637249776,0.633632057413351,-0.12894248742154954,-0.17938366339318382,-0.32544125663633605,-0.0737682940915803,-0.039206220758548724,0.2905692050001953,-0.14133191205860324,0.45615632332120337,0.0003778965257334973,-0.26029731456804606,0.12095824527076365,0.30632382478543274,0.035094693707142924,-0.41026772826756114,-0.23565535641328178,0.046383229483132705,-0.07906235655069177,0.23807812214288404,0.32493084815110584,0.23098779058122307,-0.03508228861028252,0.12940886130892007,0.2557578193473092,0.1363969471927555,0.15464666402663982,0.1976733314876411,0.04467934362141244,0.08231869095719294,0.196107067725368,0.32120465056675884,0.03537246735700127,0.032674097549007845,-0.12770219197696905,-0.14051259148605832,-0.08273136082465908,0.14165292960164322,0.2620284610843885,0.03332475018907397,-0.2925848438335388,0.56204529432126,0.3836104723552543,-0.010592350672143026,-0.13002405070390508,-0.12876661041596058,0.1018357606134494,-0.02920670872695009,-0.01936028598241996,0.08758022162027228,0.11677169947660586,0.12826069571246188,-0.021632451652952644
Away Total,0.002175712755865003,0.01659424051139704,-0.04230192158239068,1.0,0.6864051846208626,-0.7176135183698785,-0.04675193342568639,0.11692793210731145,0.08267059642765695,-0.13467634060404926,-0.1486466442076105,-0.12823767273530876,0.21999746650870705,0.07549422923550302,-0.4058600811467143,-0.22789232551732053,0.036746865450636386,-0.06468288202323798,0.2661550271003867,0.3628098811897676,0.24324487452929733,-0.07595446128539762,0.10010755450595948,0.2470578034634595,0.18417089564579892,0.1868569569642657,0.20740297402786556,0.05238692051883037,0.08700034143195981,0.17079696806698857,0.2917164560098189,0.08582001884552905,0.09732300826475568,-0.09581863015292552,-0.0765537411653789,-0.08563136506499874,0.12891000784870799,0.2415971500102277,0.017042007362913593,-0.301245211737905,0.5721364601691108,0.4136305586311733,0.3722716916315439,0.15717978064489715,0.5139963109040767,0.15139370892186088,-0.051924233018409816,0.4287783840598923,0.6106447154039385,0.6423047070062804,-0.2727504678527818,-0.386221685450736,-0.3793844178562599,0.47745414747249326,0.6519584910982795,-0.11491837513572833,-0.1356944870396061,-0.29716267268140145,0.011968404793481944,0.02060359943508659,0.32578253628104187,-0.0956698373483484,0.46265799340535535,0.02429534809920461,-0.2240583591541568,0.14322111106951335,0.32917004297730273,-0.08096500651361813,-0.01095514045231755,0.1250343246808685,0.14133420158474239,0.154787330338141,-0.0036337700986737546,0.5954977337041929,0.45901136000743287,-0.007124464784981298,-0.08882343409722719,-0.04711644927063063,0.023863538897089427
Total Points,0.005991938711037013,0.01521223763514384,0.6966094749155026,0.6864051846208626,1.0,0.013248978023471953,-0.053874562126351604,0.1339570547145231,0.05914493171842281,-0.16139129970596133,-0.1830907107314113,-0.029765450296382914,0.31563935935295145,0.47361935911037656,-0.005766871014306098,0.11367570753655189,0.16635755170144478,0.3188744947442528,0.27865738726412204,0.19592227241993404,0.4500762124276782,0.3542444932935564,0.5620879918958755,-0.02856178317622101,-0.11196737997217669,-0.09092950728483784,0.4574859858417012,0.4977488443386093,-0.03271592288578386,-0.008572174782347324,-0.027240757930848177,0.009478353927893602,0.042319273923722325,0.14131337534792626,-0.16076150182223836,0.2706419283162905,0.0912042789233313,-0.01719188296454772,0.09830326991608954,0.0033351656383129834,0.43531043305375977,-0.0005618706374997341,0.0961264748968084,0.14547284534484697,0.3118425074391889,0.27898131166551215,0.19529937332943378,0.4738043567769686,0.41369573435409973,0.5544811825914536,-0.00969126683449231,-0.17926466289644416,-0.16133488829430626,0.48482626311587296,0.4991285302791731,-0.02219503789236901,0.04594713209235385,0.02081338946118405,0.032996094402669006,0.03648488013615078,0.1414228116508948,-0.17359458212876544,0.2735118610069386,0.11719443013773685,0.027645927779293863,0.12698323181401425,0.022156230426306323,0.35239214096828675,0.2720545813266928,0.08284575820995944,0.008094497986644134,0.016930882916974383,0.07325147464664995,0.4068077490366254,0.31612908277789586,0.05739940076766961,0.022112765741974152,0.0570178774957818,-0.0003576189145023431
Home _diff,0.007200813971457549,-0.004315394022397734,0.7261745812861056,-0.7176135183698785,0.013248978023471953,1.0,0.01164728947365283,-0.028440026166271955,-0.05501697720500181,0.030290168400924612,0.028434073471434142,0.14621501190987204,0.0011467173564830959,0.3513627679457296,0.5547737077083673,0.42384390350237894,0.10884286860535246,0.3942707380000271,-0.09859151202777754,-0.31034934144415854,0.09653523391187138,0.44281110817745023,0.40098370771422737,-0.36792206795214955,-0.3600318766481661,-0.3439680508184697,0.15291745542141635,0.4056342389905771,-0.14974858525922968,-0.2425720528977434,-0.4275916452753947,-0.11047634668246496,-0.09429982682919205,0.2684810930340322,-0.045838958993963716,0.37689603803083743,-0.08844294907251818,-0.34769363669596703,0.07258876807629216,0.4208225302689914,-0.3692388489759958,-0.5706135547862456,-0.4204371672338307,-0.07582739227730648,-0.4088060259049809,0.06177805519461137,0.26222852013094333,-0.13404006271358965,-0.44465534686494207,-0.3517803116576095,0.3659667286921482,0.36084691071223285,0.36886325529363606,-0.19075749668316128,-0.4174853594418003,0.13645987795740436,0.23007442071512854,0.428386138247057,0.016421153018933408,0.00859810787202247,-0.31319632812904197,-0.03211355019466996,-0.37603631540602805,0.08202310431328935,0.3368314558450039,-0.07532468013355728,-0.43046137143009,0.44879058737990246,0.27494015227447643,-0.0934229705505962,-0.18789106428969643,-0.1962719978406012,0.07529156049170377,-0.4310724433044162,-0.32935318003478575,0.06595168403717731,0.14251926670211534,0.12182817632524988,-0.03288414672155826
Coin Toss Winner,-0.042716666836641146,-0.04336988218337853,-0.029443352697310268,-0.04675193342568639,-0.053874562126351604,0.01164728947365283,1.0,0.02798465440802299,0.07201526444685295,-0.016441871545764607,-0.017649155256181544,-0.013349522042493175,-0.022290397989240058,-0.04390985262145483,0.011116708733304208,0.02598958636081261,0.025833378998380403,-0.010453447599251861,-0.04623078421236024,-0.050418124405885584,-0.03106408532535887,0.023814565032696793,-0.0586298751953173,0.034199951153033675,0.02872722971410361,0.013672004139329287,-0.03105743547182164,-0.012889683390729642,0.02598179848797112,0.027197580873747563,0.04244460237086055,0.01656129947234302,-0.005609455804144143,0.0015847337995549295,-0.0070120432278511025,0.006229207316346811,-0.06100354030249382,-0.06211288250920557,-0.010186997934884263,-0.001465032144555979,-0.03780030637871447,-0.008195052792119472,-0.025271458207109687,-0.0417247483676038,-0.07539935420971132,-0.0233031173253236,-0.013106513935604167,-0.04594084269296933,-0.04758158313314344,-0.023367874659267707,-0.011548886586133842,-0.011828495859263091,0.016940313362312977,-0.047224627548070656,-0.05781056953764256,-0.011882882607491565,-0.005125019729136841,-0.012199061287715985,-0.06442899661167288,-0.0595338186168389,-0.03220778016172664,-0.005058275079873721,-0.03721361627357766,-0.06878787064853813,-0.02407324022955813,-0.05677298090799868,-0.00889121133284656,-0.010163210361308817,0.01602874796296437,-0.0008922669051012814,-0.018394581685780297,-0.016464479906785637,-0.02508512260098597,-0.04050755255470694,-0.043592084003422536,0.018525195761503535,0.02183884036169353,-0.017439510901843237,0.006496073184022261
Indoor/Outdoor,0.0756023625809552,0.07675635654173214,0.07462879571327455,0.11692793210731145,0.1339570547145231,-0.028440026166271955,0.02798465440802299,1.0,0.4849317807523788,-0.8996274936701244,-0.653849690519598,-0.05967487139933964,0.18101048178065962,0.10378520518601232,-0.014852742910035504,-0.020998917678178977,-0.016219895400504402,-0.031237360782190037,0.1524945689185823,0.09038605241907915,0.16779076350457403,0.11412012036078238,0.1059111254403167,-0.03281889200313202,0.030085471980438608,0.04161486635904803,0.1583685807260877,0.1348840727424748,-0.038932838612718776,-0.010451385148954107,-0.031650043269504366,0.008714373622788698,0.0025543794716833285,0.05242993160275167,0.037466377574857386,0.03793609447611282,0.04861644338845119,0.010373892373003861,0.06628737390045279,0.0074640185917657425,0.1463682223227071,0.07814893254226297,0.0389874693846531,-0.013263487952422137,0.04327829039423841,0.10574213825346389,0.05489701137993998,0.12643317102970997,0.10140352692819353,0.08499415333670511,-0.07698417358378308,-0.025936823933776533,-0.018784608250658176,0.1253501558474434,0.137215688336481,-0.05167260436372812,-0.03068955913531499,-0.0791717691738672,-0.02079079693000785,-0.018418360465596126,0.07370440160311281,0.03570167796968754,0.0738668148064001,0.01655175180932546,-0.0013177995940134304,0.005054106514448507,0.11640196262534927,0.06832500430612548,0.09259363790776864,0.023363277099700857,-0.014283443020835881,0.08070315139261902,-0.0902811021987381,0.09820791784544822,0.05645410460303502,-0.04087645203057181,-0.048893723517170314,-0.024274257499821792,-0.08134251016079634
Temperature,-0.11777286732283582,-0.05259922846648136,0.002778685957239693,0.08267059642765695,0.05914493171842281,-0.05501697720500181,0.07201526444685295,0.4849317807523788,1.0,-0.5288056437039986,-0.1139847560963474,-0.05442226100957776,0.11748608785266954,0.04752952358196841,-0.05434929113449203,-0.0846855134858437,-0.07345390518148859,-0.06872287609959334,0.13744263903171208,0.10462545383989176,0.163607070472009,0.1044257465828783,0.03750364950597449,0.03675906904036418,0.024358489014566453,0.03196101915450868,0.15436219928270528,0.09160926095241897,0.00022748943512047016,0.0487432164213348,0.05700898786021794,0.12169348100995318,0.12144446784456611,0.0157973514945678,0.03915697423495943,-0.011252846024871881,-0.02486473917638001,-0.03591970316059492,0.009695739124369728,0.012707001067612932,0.025179718412959226,0.00442071601052155,-0.015707137183036766,-0.033785948596966486,-0.02221540556412098,0.058436089476003004,0.004494714986261969,0.0832229649901863,0.09961949398576862,0.08838926892318431,-0.02494976973499509,-0.052098329209780136,-0.045956446759558164,0.08809605398222477,0.07148215779632595,-0.06667116637241532,-0.028089263088024997,-0.03688079838575972,0.06902468067608596,0.06285979077248942,0.004037385225569911,-0.015267839556569953,0.003957800361010719,-0.03208616596323397,-0.08362827538455453,-0.03067892874535249,0.04705401413305267,0.06986466877371086,0.10493994974969206,-0.03709780452813039,0.015570903674208002,0.018158452853924766,-0.09572598840762363,0.03712333596607193,0.026020512547718117,-0.055372431768527984,0.023978379950749203,-0.024988750351932678,-0.06458180686704093
Humidity,0.15235051491458576,0.15465027709967633,-0.09283675091781651,-0.13467634060404926,-0.16139129970596133,0.030290168400924612,-0.016441871545764607,-0.8996274936701244,-0.5288056437039986,1.0,0.7090178147481672,0.09323448337498738,-0.2217257465060821,-0.1023914024290437,0.008325244711556466,-0.012389407353118368,-0.040260750477410484,0.013119870939572021,-0.13962749832687546,-0.06349132156404425,-0.16771191267521732,-0.14030877606462122,-0.12317721403221217,0.035467973070676825,-0.04527726528038175,-0.057950909326708135,-0.15538870859193737,-0.15060316260102444,0.03473375880359371,0.038498018842129667,0.05005542389516803,-0.04311300836099712,-0.028452593558253463,-0.0316920334238246,-0.003745726232452953,-0.027511193170437542,-0.04303292486730555,0.014541941421555835,-0.05539590043961883,-0.0001861776321360034,-0.17456093162474529,-0.06818465305999831,-0.04967786316323342,-0.014516034491334649,-0.0297547199802917,-0.13789294095448834,-0.08472964621572159,-0.15801889579606346,-0.11060109059757392,-0.11068271127752732,0.07479915810499667,0.010598867737503686,0.013523205654734657,-0.15444711365055527,-0.1692171852741023,0.06505040430993662,0.03657597532377727,0.07998685250268489,-0.016086028868389234,-0.00823168270216428,-0.06767782160580683,-0.02973542541525947,-0.06768848852325907,-0.005840898380577557,0.02821703728594568,0.002710804771809554,-0.11492764062721027,-0.07347362683850553,-0.08581137862233824,-0.010264325896272151,-0.028452627287035712,-0.04389805920923214,0.07998678271068334,-0.12978985338212493,-0.07384592156943579,0.07181160982463079,-0.01572156638408757,0.012029526402023835,0.08090868241170224
