,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,datetime,spread / total,decimal odds,american odds,event,participant score,participant,participant full name,underdog score,underdog team,underdog abb,home,away,dateForJoin,joinValue
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22 00:00:00,-4.5,1.9524,-105,L.A. Lakers@L.A. Clippers,102.0,LAL,L.A. Lakers Lakers,112.0,L.A. Clippers Clippers,LAC,L.A. Clippers,L.A. Lakers,201910220,201910220LAC
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019-10-23 00:00:00,-10.0,1.9091,-110,Cleveland Cavaliers@Orlando Magic,94.0,ORL,Orlando Magic,85.0,Cleveland Cavaliers,CLE,Orlando Magic,Cleveland Cavaliers,201910230,201910230ORL
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2019-10-23 00:00:00,-8.0,1.9524,-105,Detroit Pistons@Indiana Pacers,110.0,IND,Indiana Pacers,119.0,Detroit Pistons,DET,Indiana Pacers,Detroit Pistons,201910230,201910230IND
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2019-10-23 00:00:00,-7.0,1.9524,-105,Memphis Grizzlies@Miami Heat,120.0,MIA,Miami Heat,101.0,Memphis Grizzlies,MEM,Miami Heat,Memphis Grizzlies,201910230,201910230MIA
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2019-10-23 00:00:00,-6.0,1.9524,-105,Boston Celtics@Philadelphia 76ers,107.0,PHI,Philadelphia 76ers,93.0,Boston Celtics,BOS,Philadelphia 76ers,Boston Celtics,201910230,201910230PHI
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2019-10-23 00:00:00,-3.0,1.9091,-110,Minnesota Timberwolves@Brooklyn Nets,126.0,BKN,Brooklyn Nets,127.0,Minnesota Timberwolves,MIN,Brooklyn Nets,Minnesota Timberwolves,201910230,201910230BKN
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2019-10-23 00:00:00,-9.5,1.9524,-105,Washington Wizards@Dallas Mavericks,108.0,DAL,Dallas Mavericks,100.0,Washington Wizards,WAS,Dallas Mavericks,Washington Wizards,201910230,201910230DAL
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2019-10-23 00:00:00,-11.0,1.9524,-105,New York@San Antonio,120.0,SAS,San Antonio Spurs,111.0,New York Knicks,NYK,San Antonio,New York,201910230,201910230SAS
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2019-10-23 00:00:00,-9.0,1.9091,-110,Oklahoma City@Utah Jazz,100.0,UTA,Utah Jazz,95.0,Oklahoma City Thunder,OKC,Utah Jazz,Oklahoma City,201910230,201910230UTA
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2019-10-23 00:00:00,-1.0,1.9524,-105,Sacramento Kings@Phoenix Suns,95.0,SAC,Sacramento Kings,124.0,Phoenix Suns,PHX,Phoenix Suns,Sacramento Kings,201910230,201910230PHO
