,joinValue,over_under_total
0,201910220LAC,225.0
1,201910230ORL,211.5
2,201910230IND,211.0
3,201910230MIA,213.5
4,201910230PHI,215.5
5,201910230BKN,230.0
6,201910230DAL,220.0
7,201910230SAS,214.5
8,201910230UTA,221.5
9,201910230PHO,232.5
10,201910230POR,218.0
11,201910240HOU,231.0
12,201910240GSW,229.5
13,201910250CHA,225.5
14,201910250BKN,228.0
15,201910250NOP,227.0
16,201910250MEM,225.0
17,201910250OKC,218.0
18,201910250DEN,219.0
19,201910250SAC,228.0
20,201910250LAL,216.5
21,201910260DET,213.5
22,201910260ATL,216.5
23,201910260NYK,219.0
24,201910260CLE,213.0
25,201910260CHI,219.0
26,201910260HOU,238.5
27,201910260SAS,219.5
28,201910260UTA,221.5
29,201910260PHO,225.5
30,201910270MEM,225.0
31,201910270DAL,219.0
32,201910270MIN,224.5
33,201910270LAL,217.0
34,201910280DET,213.0
35,201910280ATL,221.0
36,201910280TOR,208.5
37,201910280NOP,236.5
38,201910280MIL,224.5
39,201910280HOU,227.5
40,201910280SAS,222.5
41,201910280PHO,213.5
42,201910280SAC,218.0
43,201910280LAC,228.0
44,201910290DEN,213.0
45,201910290LAL,215.0
46,201910300CLE,216.5
47,201910300PHI,222.0
48,201910300BOS,224.0
49,201910300BKN,221.5
50,201910300TOR,214.0
51,201910300OKC,222.0
52,201910300WAS,234.0
53,201910300SAC,223.5
54,201910300UTA,216.5
55,201910300GSW,232.0
56,201910310NOP,223.5
57,201910310LAC,229.5
58,201911010BKN,245.0
59,201911010ORL,214.0
60,201911010BOS,211.0
61,201911010CHI,215.5
62,201911010DAL,218.5
63,201911010SAC,214.5
64,201911010GSW,222.0
65,201911020DET,223.0
66,201911020ORL,200.0
67,201911020MIL,227.0
68,201911020MEM,221.5
69,201911020WAS,230.0
70,201911020GSW,221.0
71,201911020POR,224.0
72,201911030MIA,233.5
73,201911030NYK,213.0
74,201911030SAS,217.5
75,201911030CLE,218.0
76,201911030LAC,214.0
77,201911040BKN,239.5
78,201911040MEM,229.5
79,201911040MIN,230.0
80,201911040PHO,224.0
81,201911040GSW,220.0
82,201911050CHA,212.0
83,201911050ATL,223.0
84,201911050CHI,216.0
85,201911050OKC,201.0
86,201911050DEN,211.5
87,201911060DET,206.0
88,201911060HOU,229.0
89,201911060ATL,222.0
90,201911060TOR,219.5
91,201911060MEM,224.5
92,201911060DAL,207.5
93,201911060UTA,208.5
94,201911060LAC,228.5
95,201911070SAS,211.5
96,201911070PHO,220.0
97,201911070LAC,231.0
98,201911080WAS,233.0
99,201911080IND,210.0
100,201911080ATL,226.0
101,201911080MIN,229.0
102,201911080NOP,233.0
103,201911080DAL,215.5
104,201911080DEN,212.0
105,201911080UTA,217.5
106,201911080POR,240.5
107,201911080LAL,219.5
108,201911090CHA,232.0
109,201911090MEM,222.5
110,201911090CHI,233.5
111,201911090OKC,216.0
112,201911100ORL,202.5
113,201911100PHI,213.5
114,201911100OKC,220.0
115,201911100NYK,213.5
116,201911100PHO,232.0
117,201911100POR,226.0
118,201911100LAL,211.0
119,201911110BOS,221.0
120,201911110NOP,243.0
121,201911110SAS,224.5
